videos/12.mp4,118,430.5,414.5,8.0
videos/12.mp4,120,257.5,453.5,8.0
videos/12.mp4,122,415.5,432.5,8.0
videos/12.mp4,124,416.5,432.5,9.0
videos/12.mp4,126,416.5,432.5,11.0
videos/12.mp4,128,460.5,451.5,8.0
videos/12.mp4,130,460.5,451.5,10.0
videos/12.mp4,132,460.5,451.5,12.0
videos/12.mp4,134,460.5,451.5,14.0
videos/12.mp4,136,460.5,451.5,16.0
videos/12.mp4,138,460.5,451.5,18.0
videos/12.mp4,140,460.5,451.5,21.0
videos/12.mp4,142,460.5,451.5,23.0
videos/12.mp4,144,460.5,451.5,24.0
videos/12.mp4,146,375.5,477.5,8.0
videos/12.mp4,148,375.5,477.5,10.0
videos/12.mp4,158,371.5,481.5,8.0
videos/12.mp4,186,392.5,425.5,8.0
videos/12.mp4,192,416.5,495.5,8.0
videos/12.mp4,198,326.5,377.5,8.0
videos/12.mp4,258,114.5,446.5,8.0
videos/12.mp4,290,147.5,420.5,7.0
videos/12.mp4,400,426.5,477.5,8.0
